source,target,volume
0,9,172
0,7,160
102,102,108
102,1,106
9,1,104
7,102,75
7,7,48
7,1,41
9,7,37
0,102,35
18,102,31
102,18,31
9,2,27
16,16,24
102,17,23
17,102,23
9,9,21
102,16,19
16,102,19
2,1,19
9,15,18
17,17,17
20,20,15
15,102,13
2,9,12
23,23,11
22,16,10
9,102,10
15,3,10
9,19,9
32,32,9
16,1,9
27,1,8
15,19,8
7,24,8
7,9,8
21,21,8
15,1,8
0,27,7
0,2,7
0,15,6
7,50,6
40,35,6
0,4,6
102,9,6
102,34,6
4,9,6
19,1,6
4,1,6
21,1,6
3,15,6
7,31,6
7,25,6
102,15,6
20,102,6
2,19,6
52,102,5
15,9,5
102,52,5
30,30,5
59,26,5
0,22,5
28,1,5
26,59,5
102,20,5
5,5,5
29,21,5
56,23,5
19,2,5
25,41,5
9,4,5
77,1,4
50,26,4
19,9,4
7,22,4
24,1,4
2,3,4
47,1,4
102,28,4
35,40,4
43,22,4
58,1,4
86,9,4
25,1,4
31,1,4
29,1,4
65,1,4
19,15,4
41,30,4
0,65,4
78,55,4
102,80,4
48,44,4
49,49,4
0,77,4
54,102,4
34,102,4
39,39,4
24,58,4
2,2,4
19,19,4
28,102,3
91,84,3
17,1,3
18,18,3
53,53,3
19,37,3
44,1,3
33,42,3
29,29,3
26,26,3
9,3,3
102,91,3
82,102,3
90,7,3
46,71,3
5,20,3
85,85,3
7,90,3
87,1,3
102,51,3
51,102,3
44,48,3
51,51,3
63,1,3
69,69,3
7,21,3
36,36,3
2,38,3
83,83,3
2,15,3
76,1,3
7,54,3
7,28,3
7,81,3
20,1,3
81,1,3
7,57,3
25,25,3
0,21,3
71,102,3
102,7,3
66,20,3
37,10,3
0,86,3
38,15,3
94,17,3
80,102,3
45,36,3
102,39,3
35,1,3
33,15,3
39,1,3
23,67,3
3,9,2
60,60,2
7,70,2
10,15,2
63,63,2
102,31,2
102,47,2
3,19,2
102,54,2
34,34,2
9,27,2
42,9,2
35,35,2
7,48,2
102,64,2
45,1,2
72,72,2
50,1,2
3,62,2
99,1,2
20,5,2
0,24,2
70,1,2
57,1,2
62,15,2
102,4,2
102,49,2
7,82,2
7,89,2
34,1,2
92,92,2
22,43,2
7,68,2
84,1,2
27,9,2
101,102,2
28,29,2
102,101,2
26,102,2
64,15,2
24,24,2
36,1,2
7,29,2
15,2,2
7,97,2
41,1,2
55,24,2
19,10,2
36,102,2
3,1,2
7,79,2
7,96,2
68,68,2
26,63,2
42,102,2
47,47,2
9,37,2
98,1,2
100,1,2
102,72,2
19,3,2
24,78,2
7,94,2
3,6,2
22,22,2
102,88,2
31,74,2
84,102,2
15,64,2
0,66,2
97,87,2
73,73,2
46,102,2
102,76,2
102,46,2
7,45,2
7,36,2
36,45,2
9,38,2
55,102,2
79,1,2
15,33,2
102,87,2
102,2,2
3,102,2
31,102,2
26,1,2
2,27,2
102,44,2
23,56,2
7,100,2
42,1,2
7,99,2
102,26,2
9,25,2
43,43,2
3,3,2
15,15,2
61,93,2
21,102,2
20,66,1
85,1,1
24,102,1
14,41,1
95,102,1
2,102,1
102,29,1
100,102,1
33,3,1
32,102,1
60,9,1
15,38,1
96,28,1
38,1,1
70,28,1
0,6,1
0,99,1
54,1,1
0,94,1
9,100,1
60,61,1
27,53,1
102,22,1
102,74,1
102,40,1
92,81,1
57,102,1
62,19,1
70,70,1
102,63,1
0,98,1
12,58,1
15,62,1
33,1,1
83,102,1
28,78,1
67,75,1
95,95,1
4,3,1
102,69,1
33,19,1
37,33,1
55,78,1
0,33,1
57,57,1
49,28,1
30,2,1
3,33,1
9,10,1
67,7,1
37,15,1
93,61,1
7,61,1
89,102,1
61,1,1
67,23,1
6,102,1
7,23,1
67,56,1
46,46,1
62,2,1
8,1,1
102,75,1
16,22,1
39,102,1
3,11,1
9,29,1
61,7,1
21,43,1
102,25,1
40,40,1
79,7,1
72,102,1
102,83,1
66,5,1
38,9,1
89,1,1
10,1,1
82,82,1
38,2,1
2,62,1
48,48,1
60,1,1
74,1,1
96,102,1
4,2,1
52,1,1
93,1,1
41,25,1
80,1,1
30,41,1
7,60,1
89,39,1
101,101,1
31,46,1
79,56,1
76,76,1
0,34,1
11,2,1
19,33,1
22,1,1
19,102,1
22,102,1
0,46,1
102,33,1
24,28,1
7,66,1
22,29,1
3,38,1
0,42,1
96,29,1
73,102,1
15,42,1
88,1,1
58,12,1
68,2,1
102,98,1
21,29,1
10,42,1
102,89,1
9,62,1
37,1,1
64,1,1
10,33,1
71,1,1
102,93,1
98,98,1
102,82,1
42,15,1
0,30,1
81,92,1
53,102,1
0,55,1
61,8,1
75,67,1
37,19,1
21,28,1
64,102,1
30,25,1
27,2,1
93,8,1
102,60,1
0,20,1
0,57,1
22,7,1
28,96,1
21,70,1
7,73,1
49,1,1
0,95,1
43,27,1
102,35,1
25,22,1
69,1,1
22,73,1
30,9,1
68,53,1
13,9,1
102,21,1
7,76,1
57,47,1
88,102,1
15,4,1
72,1,1
2,37,1
15,60,1
38,19,1
75,7,1
15,61,1
75,56,1
0,75,1
38,3,1
74,74,1
7,84,1
7,47,1
34,22,1
0,52,1
37,2,1
102,42,1
95,1,1
7,40,1
7,75,1
0,36,1
44,44,1
74,31,1
45,45,1
10,7,1
48,1,1
102,45,1
102,32,1
30,14,1
6,1,1
102,71,1
88,88,1
102,95,1
31,7,1
9,43,1
99,102,1
15,37,1
23,79,1
15,10,1
9,61,1
75,79,1
53,2,1
25,30,1
62,37,1
30,102,1
102,24,1
23,1,1
74,46,1
87,97,1
24,85,1
9,33,1
3,2,1
97,1,1
3,13,1
7,15,1
73,43,1
19,38,1
9,86,1
8,9,1
10,3,1
2,7,1
6,9,1
0,31,1
